Occ,Risk,income,number
Print finishing and binding workers,0,10.72,9000
Butchers,13,10,29000
Bakers and flour confectioners,7,9.76,31000
Fishmongers and poultry dressers,13,9.03,11000
Chefs,20.5,9.68,244000
Cooks,18.4,8.88,70000
Catering and bar managers,10,10.14,68000
"Glass and ceramics makers, decorators and finishers",2.6,10.77,11000
Furniture makers and other craft woodworkers,4.3,10.46,40000
Florists,27,8.52,11000
Other skilled trades n.e.c.,0.5,12.95,37000
Nursery nurses and assistants,36,8.85,224000
Childminders and related occupations,30,10,106000
Playworkers,30,9,31000
Teaching assistants,36,9.91,309000
Educational support assistants,36,9.92,167000
Veterinary nurses,77,11,18000
Pest control officers,16,11.87,8000
Animal care services occupations n.e.c.,41.8,9,84000
Nursing auxiliaries and assistants,87,10.93,338000
Ambulance staff (excluding paramedics),89,12.03,23000
Dental nurses,98,10.15,52000
Houseparents and residential wardens,90.6,12.13,49000
Care workers and home carers,41.3,9.5,773000
Senior care workers,41.3,9.75,77000
Care escorts,90.6,9.45,13000
"Undertakers, mortuary and crematorium assistants",68.5,11.29,26000
Sports and leisure assistants,25.8,9.24,64000
Travel agents,5.3,9.91,36000
Air travel assistants,40,10.45,59000
Rail travel assistants,21.5,17.51,15000
Leisure and travel service occupations n.e.c.,15.8,10.33,29000
Hairdressers and barbers,32.8,8.21,166000
Beauticians and related occupations,23.6,9.12,95000
Housekeepers and related occupations,47,9.02,50000
Caretakers,47,10.27,70000
Cleaning and housekeeping managers and supervisors,47,9.63,71000
Sales and retail assistants,9.5,8.74,1048000
Retail cashiers and check-out operators,27.5,8.87,178000
Telephone salespersons,5,10.24,32000
Pharmacy and other dispensing assistants,40.8,8.85,79000
Vehicle and parts salespersons and advisers,9.5,10.4,50000
Collector salespersons and credit agents,7,10.25,14000
"Debt, rent and other cash collectors",7.5,9.97,28000
Roundspersons and van salespersons,7,8.97,28000
Market and street traders and assistants,7,10.12,15000
Merchandisers and window dressers,0,9.58,21000
Sales related occupations n.e.c.,0,10.07,60000
Sales supervisors,10,10.13,174000
Call and contact centre occupations,37.7,9.37,93000
Telephonists,21,9.3,7000
Communication operators,21,13.88,37000
Market research interviewers,23,9.98,13000
Customer service occupations n.e.c.,17,9.99,313000
Customer service managers and supervisors,9,13.87,180000
"Food, drink and tobacco process operatives",8.2,9.31,130000
Glass and ceramics process operatives,5.6,10.06,3000
Textile process operatives,5,10.12,10000
Chemical and related process operatives,5.2,13.41,41000
Rubber process operatives,5.8,10.69,7000
Plastics process operatives,3.6,10.25,18000
Metal making and treating process operatives,5,12.34,11000
Electroplaters,10.7,9.97,5000
Process operatives n.e.c.,7.7,10.67,11000
Paper and wood machine operatives,1,10.04,25000
Coal mine operatives,8.3,10.51,3000
Quarry workers and related operatives,7.3,10.77,10000
Energy plant operatives,14.4,16.33,7000
Metal working machine operatives,4.5,10.49,58000
Water and sewerage plant operatives,11.5,14.02,14000
Printing machine assistants,0,10.18,9000
Plant and machine operatives n.e.c.,3.5,10.79,20000
Assemblers (electrical and electronic products),3,10.56,26000
Assemblers (vehicles and metal goods),4.5,14.09,44000
Routine inspectors and testers,4,12.22,73000
"Weighers, graders and sorters",4,10.02,17000
"Tyre, exhaust and windscreen fitters",10,9.56,17000
Sewing machinists,0,8.89,33000
Assemblers and routine operatives n.e.c.,0,10.03,43000
"Scaffolders, stagers and riggers",7.5,14.7,27000
Road construction operatives,20,12.39,22000
Rail construction and maintenance operatives,20,13.53,9000
Construction operatives n.e.c.,29.5,11.08,109000
Large goods vehicle drivers,11.5,11.86,304000
Van drivers,27.4,9.58,283000
Bus and coach drivers,43.3,11.86,118000
Taxi and cab drivers and chauffeurs,27.4,8.72,231000
Driving instructors,8,12.93,34000
Crane drivers,10,13.5,14000
Fork-lift truck drivers,10,10.45,93000
Agricultural machinery drivers,2,9.55,5000
Mobile machine drivers and operatives n.e.c.,4.2,12.31,49000
Train and tram drivers,15.3,30.13,32000
Marine and waterways transport operatives,13.5,12.98,5000
Air transport operatives,9,11.81,16000
Rail transport operatives,15.3,17.61,16000
Other drivers and transport operatives n.e.c.,9,12.21,21000
Farm workers,13.3,9.21,58000
Forestry workers,13.4,11.66,6000
Fishing and other elementary agriculture occupations n.e.c.,3.7,8.88,21000
Elementary construction occupations,13.7,10,158000
Industrial cleaning process occupations,2,8.52,29000
"Packers, bottlers, canners and fillers",5,9.03,131000
Elementary process plant occupations n.e.c.,2,9.88,95000
"Postal workers, mail sorters, messengers and couriers",20.8,12.45,160000
Elementary administration occupations n.e.c.,41.5,8.75,32000
Window cleaners,47,9.64,28000
Cleaners and domestics,38.3,8.65,585000
"Launderers, dry cleaners and pressers",4,8.25,27000
Refuse and salvage occupations,39.5,9.96,37000
Vehicle valeters and cleaners,16,8.48,30000
Elementary cleaning occupations n.e.c.,38.3,9.25,7000
Security guards and related occupations,33,9.89,190000
Parking and civil enforcement occupations,14.2,10.13,14000
School midday and crossing patrol occupations,14.2,9.23,92000
Elementary security occupations n.e.c.,14.2,10,23000
Shelf fillers,13.3,8.87,80000
Elementary sales occupations n.e.c.,7,9.13,28000
Elementary storage occupations,9,9.64,440000
Hospital porters,38.3,10.22,19000
Kitchen and catering assistants,17,8.35,505000
Waiters and waitresses,27.5,8.21,268000
Bar staff,4,8.22,204000
Leisure and theme park attendants,14.2,8.51,35000
Other elementary services occupations n.e.c.,27.9,8.59,26000
